fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
arjae,hanoi,False,127389,258444,0,0,0,999999,999999,0,0.0,147,0.36658354114713215
arjae,hanoi,False,245627,698981,0,0,0,999999,999999,19,0.04738154613466334,127,0.3167082294264339
arjae,hanoi,False,270792,866232,0,0,0,999999,999999,0,0.0,157,0.3915211970074813
arjae,hanoi,False,314210,307467,0,0,0,999999,999999,1,0.0024937655860349127,130,0.32418952618453867
arjae,hanoi,False,326273,406722,0,0,0,999999,999999,0,0.0,166,0.4139650872817955
arjae,hanoi,False,335030,323809,0,0,0,999999,999999,8,0.0199501246882793,156,0.38902743142144636
arjae,hanoi,False,359273,522381,0,0,0,999999,999999,0,0.0,148,0.3690773067331671
arjae,hanoi,False,361532,969683,0,0,0,999999,999999,0,0.0,134,0.3341645885286783
arjae,hanoi,False,424167,263909,0,0,0,999999,999999,56,0.1396508728179551,96,0.23940149625935161
arjae,hanoi,False,445781,796854,0,0,0,999999,999999,0,0.0,158,0.3940149625935162
arjae,hanoi,False,467438,857431,0,0,0,999999,999999,0,0.0,181,0.4513715710723192
arjae,hanoi,False,63640,639044,0,0,0,999999,999999,4,0.00997506234413965,141,0.3516209476309227
arjae,hanoi,False,775678,558454,0,0,0,999999,999999,44,0.10972568578553615,114,0.28428927680798005
arjae,hanoi,False,795941,736537,0,0,0,999999,999999,1,0.0024937655860349127,166,0.4139650872817955
arjae,hanoi,False,804202,426123,0,0,0,999999,999999,0,0.0,171,0.42643391521197005
arjae,hanoi,False,869234,222041,0,0,0,999999,999999,0,0.0,153,0.38154613466334164
arjae,hanoi,False,91852,879162,0,0,0,999999,999999,0,0.0,155,0.3865336658354115
arjae,hanoi,False,924314,615181,0,0,0,999999,999999,0,0.0,150,0.3740648379052369
arjae,hanoi,False,925945,879892,0,0,0,999999,999999,0,0.0,144,0.35910224438902744
arjae,hanoi,False,952093,745199,0,0,0,999999,999999,0,0.0,143,0.3566084788029925
decision,hanoi,False,129484,790426,0,0,0,999999,999999,0,0.0,148,0.3690773067331671
decision,hanoi,False,151148,382389,0,0,0,999999,999999,1,0.0024937655860349127,154,0.38403990024937656
decision,hanoi,False,165003,744242,0,0,0,999999,999999,0,0.0,140,0.3491271820448878
decision,hanoi,False,170653,168365,0,0,0,999999,999999,0,0.0,135,0.33665835411471323
decision,hanoi,False,226572,292935,0,0,0,999999,999999,1,0.0024937655860349127,135,0.33665835411471323
decision,hanoi,False,263374,14119,0,0,0,999999,999999,82,0.20448877805486285,91,0.22693266832917705
decision,hanoi,False,291785,66912,0,0,0,999999,999999,0,0.0,164,0.4089775561097257
decision,hanoi,False,324024,891126,0,0,0,999999,999999,54,0.13466334164588528,104,0.2593516209476309
decision,hanoi,False,359118,630456,0,0,0,999999,999999,1,0.0024937655860349127,161,0.4014962593516209
decision,hanoi,False,36709,647111,0,0,0,999999,999999,0,0.0,141,0.3516209476309227
decision,hanoi,False,435225,195597,0,0,0,999999,999999,0,0.0,189,0.4713216957605985
decision,hanoi,False,452144,566880,0,0,0,999999,999999,0,0.0,156,0.38902743142144636
decision,hanoi,False,473384,417465,0,0,0,999999,999999,0,0.0,150,0.3740648379052369
decision,hanoi,False,568936,901437,0,0,0,999999,999999,0,0.0,135,0.33665835411471323
decision,hanoi,False,680692,113999,0,0,0,999999,999999,0,0.0,142,0.3541147132169576
decision,hanoi,False,756066,419608,0,0,0,999999,999999,1,0.0024937655860349127,132,0.32917705735660846
decision,hanoi,False,758403,137527,0,0,0,999999,999999,0,0.0,147,0.36658354114713215
decision,hanoi,False,876370,774952,0,0,0,999999,999999,0,0.0,158,0.3940149625935162
decision,hanoi,False,926052,326853,0,0,0,999999,999999,8,0.0199501246882793,150,0.3740648379052369
decision,hanoi,False,950625,313417,0,0,0,999999,999999,0,0.0,162,0.40399002493765584
original,hanoi,False,124940,809324,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,181082,601429,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,197679,632085,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,209100,143849,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,271106,98642,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,278825,384147,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,32551,159030,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,410652,344891,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,460395,815703,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,461906,851432,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,470074,473482,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,537661,187124,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,542603,42137,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,546461,748180,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,628094,604292,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,650168,103651,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,736609,440552,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,813984,63910,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,901438,443612,0,0,0,999999,999999,0,0.0,401,1.0
original,hanoi,False,980665,193074,0,0,0,999999,999999,0,0.0,401,1.0
